"cases","zip_code","total_population","total_non_hispanic","total_white_nonhispanic","total_black_nonhispanic","total_asian_alone","total_black","total_hispanic","average_household_size","pct_more_than_one_occupant_per_room","total_male","total_female","age_60_and_over","age_65_and_over","age_75_and_over","median_age","below_poverty_level","pct_below_poverty_level","household_median_income","household_mean_income","pct_services","pct_over_age_65","pct_white","pct_minority","pct_black","pct_hispanic","cases_per_1000","city"
525,11102,30800,21328,13229,2659,4650,3375,9472,2.33530523255814,6.7,15375,15425,4970,3631,1510,33.7,5345,17.5,64067,94047,0.211940468075437,0.11788961038961,0.429512987012987,0.570487012987013,0.0863311688311688,0.307532467532468,17.0454545454545,"nyc"
1219,11370,32514,20361,8236,4484,7138,5064,12153,3.1710972100588,11.7,19284,13230,5558,4066,1904,37.5,3335,13.2,65098,103144,0.307811228641172,0.125053822968567,0.253306268069139,0.746693731930861,0.137909823460663,0.373777449713969,37.4915421049394,"nyc"
1219,11370,32514,20361,8236,4484,7138,5064,12153,3.1710972100588,11.7,19284,13230,5558,4066,1904,37.5,3335,13.2,65098,103144,0.307811228641172,0.125053822968567,0.253306268069139,0.746693731930861,0.137909823460663,0.373777449713969,37.4915421049394,"nyc"
494,10021,46215,42551,36643,270,4333,681,3664,1.8235349655945,3.2,21010,25205,12381,10250,5045,41,2185,4.8,118289,363052,0.0243717257611419,0.221789462295791,0.792881099210213,0.207118900789787,0.00584225900681597,0.0792816185221249,10.6891701828411,"nyc"
496,11358,37190,30929,12476,184,17473,585,6261,2.84866968256402,4.8,18368,18822,9401,7134,3126,43.9,3660,9.9,66129,99110,0.229463490650045,0.191825759612799,0.335466523258941,0.664533476741059,0.00494756655014789,0.168351707448239,13.3369185264856,"nyc"
274,11362,18721,17062,8289,150,8098,405,1659,2.5839295203468,2.9,8786,9935,6157,4835,2364,49.4,1113,6,89185,121161,0.15641199008339,0.258266118262913,0.442764809572138,0.557235190427862,0.00801239250040062,0.0886170610544309,14.6359703007318,"nyc"
183,10044,11682,10129,4448,1296,3958,1541,1553,2.13042965459141,10.1,5498,6184,2973,2238,1158,42.2,1174,11.6,100441,157678,0.061622026596741,0.191576784797124,0.380756719739771,0.619243280260229,0.110939907550077,0.132939565142955,15.6651258346174,"nyc"
1360,11369,34118,12417,2747,5063,4196,6112,21701,3.21718088206722,14.4,16785,17333,6958,5247,2423,38.3,5189,15.5,54121,77080,0.370670644700999,0.1537897883815,0.0805146843308518,0.919485315669148,0.148396740723372,0.636057213201243,39.8616566035524,"nyc"
464,11103,36140,27936,20953,684,5332,1318,8204,2.30209128630705,5.5,17586,18554,5507,4085,1824,33.8,4324,12,71437,89938,0.213138815994307,0.113032650802435,0.579773104593248,0.420226895406752,0.0189263973436635,0.227006087437742,12.8389596015495,"nyc"
552,11106,38363,27519,15779,2296,7951,3431,10844,2.24484463276836,7.4,18799,19564,6919,5210,2340,35.5,5147,13.4,63703,90513,0.224933591463689,0.135807939942132,0.411307770508042,0.588692229491958,0.0598493339936918,0.282668195917942,14.3888642702604,"nyc"
3744,11368,112425,27557,4409,9291,12613,12777,84868,3.91633850256122,29.6,58465,53960,14434,9719,4010,32.4,22387,20.2,50797,60283,0.463325363251793,0.086448743606849,0.0392172559484101,0.96078274405159,0.0826417611741161,0.754885479208361,33.3022014676451,"nyc"
1853,11377,86421,53521,18107,1624,31843,2812,32900,2.73829299363057,13,44369,42052,17472,13105,5535,40,9683,11.2,57010,77034,0.382428883543354,0.151641383460039,0.209520834056537,0.790479165943463,0.0187917288621978,0.380694507122112,21.4415477719536,"nyc"
1069,11355,80853,68910,6043,2306,58718,3413,11943,2.91639643555749,16.1,38656,42197,19586,14244,6673,42.8,18195,22.6,39207,61562,0.367897070424068,0.176171570628177,0.0747405785808814,0.925259421419119,0.0285208959469655,0.147712515305555,13.2215254845213,"nyc"
539,11101,30043,22135,9746,4350,6773,5395,7908,2.23725415749108,7.5,15297,14746,3997,2505,1035,34.1,5497,18.6,65392,115351,0.213206627680312,0.083380487967247,0.324401690909696,0.675598309090304,0.14479246413474,0.263222714109776,17.9409513031322,"nyc"
422,11364,36806,33280,12523,770,19103,1194,3526,2.70940903054449,4,18053,18753,9478,6697,2681,44.8,3010,8.2,76988,108068,0.168588447456145,0.181954029234364,0.340243438569798,0.659756561430202,0.0209205020920502,0.0957995978916481,11.465521925773,"nyc"
193,10018,9687,8216,4611,432,2867,561,1471,1.8881609421001,6.6,5144,4543,1007,703,284,32.8,1490,15.5,108914,196114,0.107555956136398,0.0725714875606483,0.475998761226386,0.524001238773614,0.0445958501083927,0.151852998864458,19.9236089604625,"nyc"
125,10017,15801,14869,10825,354,3352,478,932,1.57361433619384,5.2,7134,8667,4237,3363,1098,39.7,975,6.2,127506,286117,0.0371384250387809,0.212834630719575,0.685083222580849,0.314916777419151,0.0224036453389026,0.058983608632365,7.9108917157142,"nyc"
311,10001,22924,19678,12182,1289,5731,1687,3246,1.75738315501569,3.1,11671,11253,4825,3400,1807,36.7,2912,13.3,88526,196505,0.128272980501393,0.148316175187576,0.531408131216193,0.468591868783807,0.0562292793578782,0.141598324899668,13.5665677892165,"nyc"
463,10011,50472,44768,36075,2382,4627,3582,5704,1.67892302938753,4.3,26058,24414,11714,8166,3596,40.6,5483,11.1,128613,348111,0.0510438071413681,0.161792677127913,0.714752734189253,0.285247265810747,0.0471944840703757,0.113013155809162,9.17340307497226,"nyc"
605,10016,51057,47514,33836,1780,9748,2744,3543,1.70849218425785,3.7,24165,26892,9548,7422,3390,33.5,4816,9.7,117004,273083,0.0329908840978151,0.145366942828603,0.662710304169849,0.337289695830151,0.034862996259083,0.0693930313179388,11.8495015374973,"nyc"
417,11104,26119,17909,11361,321,5710,670,8210,2.24802220500904,10.6,12954,13165,4868,3358,1525,37.8,3131,12,61269,93082,0.248305197394656,0.128565412152073,0.434970710976684,0.565029289023316,0.0122899039013745,0.314330563957272,15.9653891802902,"nyc"
46,11109,5981,5648,3719,248,1500,287,333,2.02038930264049,6.5,2895,3086,217,99,0,32.7,332,5.6,148590,224616,0.0278558052434457,0.0165524159839492,0.621802374184919,0.378197625815081,0.0414646380203979,0.0556763083096472,7.69102156829962,"nyc"
234,10010,33730,30027,21570,1728,5773,2108,3703,1.85567541183649,3.4,17370,16360,5824,4723,1829,34.7,3952,12.7,117923,281159,0.0540238811765848,0.140023717758672,0.639490068188556,0.360509931811444,0.0512303587310999,0.10978357545212,6.93744441150311,"nyc"
895,11367,41824,34358,19408,3075,10655,3930,7466,2.8,8.9,20114,21710,9886,6677,2644,36.4,5806,14.2,57933,86185,0.20563623603088,0.159645179801071,0.464039785768937,0.535960214231064,0.0735223794950268,0.178509946442234,21.3991966335119,"nyc"
266,10014,30738,28691,25787,311,1725,529,2047,1.66650556805091,2.2,15513,15225,6490,4582,1874,38.3,1928,6.4,126601,341450,0.0466793353798178,0.149066302296831,0.838929012948142,0.161070987051858,0.0101177695360791,0.0665950940204307,8.6537835903442,"nyc"
399,10003,54682,50176,38521,2961,7366,3491,4506,1.7024659317103,3.5,27503,27179,9253,6433,2993,32.3,3812,8.5,112131,306152,0.066277705747978,0.117643831608207,0.70445484803043,0.29554515196957,0.0541494458871292,0.0824037160308694,7.29673384294649,"nyc"
383,11222,36492,31295,26794,1345,1819,1983,5197,2.10255331478906,4.3,18000,18492,5390,3788,1633,34.8,3850,10.6,85111,119619,0.131375710769753,0.103803573385948,0.734243121780116,0.265756878219884,0.0368573934012934,0.14241477584128,10.4954510577661,"nyc"
878,10002,74993,54603,16472,5249,30847,7645,20390,2.18400715563506,8.3,36230,38763,21188,15810,8099,43.6,20565,27.7,35859,71841,0.275438387212215,0.21081967650314,0.219647167068926,0.780352832931074,0.0699931993652741,0.271892043257371,11.7077593908765,"nyc"
646,11378,37279,25272,20160,531,3832,1047,12007,2.93753094255792,7.7,18168,19111,6930,4700,2157,37.7,3524,9.5,73333,102483,0.254126700869953,0.126076343249551,0.540787038278924,0.459212961721076,0.0142439443118109,0.322084819871778,17.3287910083425,"nyc"
610,10009,57925,43578,29677,4936,7428,6539,14347,1.92379843918192,4.4,26519,31406,12204,8837,3504,37.1,13560,23.4,61548,116167,0.117599376461419,0.152559343979284,0.512334915839448,0.487665084160552,0.0852136383254208,0.247682347863617,10.5308588692274,"nyc"
145,10012,23411,21917,16332,596,4055,977,1494,1.82834731334607,7.9,11579,11832,4430,3322,1106,33.9,2591,11.6,109037,243647,0.048658172946598,0.141899107257272,0.697620776558028,0.302379223441972,0.0254581179787279,0.0638161547990261,6.19366964247576,"nyc"
217,10013,28709,26981,15042,1044,9545,1546,1728,2.23639579509428,9.7,14029,14680,6193,4452,2204,38,3093,11.5,105442,314885,0.142228739002933,0.155073321954788,0.52394719425964,0.47605280574036,0.0363649029920931,0.0601901842627747,7.55860531540632,"nyc"
49,10007,7023,6443,5056,294,826,387,580,2.25520322226291,6.3,4118,2905,692,434,76,36,145,2.3,246813,458884,0.036191974822974,0.0617969528691442,0.719920261996298,0.280079738003702,0.0418624519436138,0.0825857895486259,6.97707532393564,"nyc"
797,11237,49310,18258,9791,3718,3557,7451,31052,2.85985663082437,13.1,25382,23928,4821,3316,1295,30.3,14680,29.9,51413,57318,0.314476378251308,0.0672480227134455,0.198560129791117,0.801439870208883,0.0754005272764145,0.629730277834111,16.1630500912594,"nyc"
1836,11385,106717,59471,49227,1710,7101,3222,47246,3.0324631327222,6.5,53086,53631,17004,11104,5114,35.4,12045,11.3,72261,88019,0.311534341582091,0.1040509009811,0.461285455925485,0.538714544074515,0.0160236888218372,0.442722340395626,17.2043816823936,"nyc"
218,10038,22800,19582,10249,1558,7069,2461,3218,2.10591772771792,7.3,10696,12104,5252,3865,1955,36.2,4125,19,86058,147002,0.111835138877576,0.169517543859649,0.449517543859649,0.550482456140351,0.0683333333333333,0.141140350877193,9.56140350877193,"nyc"
1306,11206,88349,55552,29534,18491,5966,25356,32797,2.82910250628181,10.7,42822,45527,12294,9079,3857,29.3,32154,36.6,36404,54324,0.270492244722102,0.102762906201542,0.334287881017329,0.665712118982671,0.209294955234355,0.371220953264893,14.7822838968183,"nyc"
21,10006,3454,3040,2183,36,687,71,414,1.92759197324415,10.9,1633,1821,126,16,0,31.8,164,4.7,176250,263224,0.0381564034756328,0.00463231036479444,0.632020845396642,0.367979154603358,0.0104226983207875,0.119861030689056,6.0799073537927,"nyc"
